source	line	kind	raw_target	resolved	status	note
canon/entities/factions/beats/house_sixth_beat.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
canon/entities/factions/beats/house_sixth_beat.md	1	fm:links	canon/systems/governance/empty_seat.md	canon/systems/governance/empty_seat.md	ERR-MISSING-FILE	
canon/entities/factions/beats/house_sixth_beat.md	1	fm:links	canon/entities/factions/censors_bench.md	canon/entities/factions/censors_bench.md	OK	
canon/entities/factions/beats/house_sixth_beat.md	1	fm:links	canon/systems/governance/symbols_of_office_c700_1200.md	canon/systems/governance/symbols_of_office_c700_1200.md	OK	
canon/entities/factions/beats/house_third_beat.md	1	fm:links	canon/entities/factions/synod_of_beats.md	canon/entities/factions/synod_of_beats.md	OK	
canon/entities/factions/beats/house_third_beat.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
canon/entities/factions/censors_bench.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
canon/entities/factions/censors_bench.md	1	fm:links	canon/entities/factions/guild_of_compositories.md	canon/entities/factions/guild_of_compositories.md	OK	
canon/entities/factions/censors_bench.md	1	fm:links	canon/entities/factions/beats/house_sixth_beat.md	canon/entities/factions/beats/house_sixth_beat.md	OK	
canon/entities/factions/confed_high_passes.md	1	fm:links	canon/entities/regions/Kahet_uplands.md	canon/entities/regions/Kahet_uplands.md	ERR-MISSING-FILE	
canon/entities/factions/confed_high_passes.md	1	fm:links	canon/entities/regions/ord_leeward_steppe.md	canon/entities/regions/ord_leeward_steppe.md	ERR-MISSING-FILE	
canon/entities/factions/confed_high_passes.md	1	fm:links	canon/eras/07_middle_cadence_disjunction_1050_1200.md	canon/eras/07_middle_cadence_disjunction_1050_1200.md	ERR-MISSING-FILE	
canon/entities/factions/convoy_insurance_office.md	1	fm:links	canon/entities/factions/public_debt_office.md	canon/entities/factions/public_debt_office.md	OK	
canon/entities/factions/convoy_insurance_office.md	1	fm:links	canon/systems/economy/currency_finance_c1800.md	canon/systems/economy/currency_finance_c1800.md	OK	
canon/entities/factions/convoy_insurance_office.md	1	fm:links	canon/systems/security/piracy_and_navies_c1800.md	canon/systems/security/piracy_and_navies_c1800.md	OK	
canon/entities/factions/council_of_captains.md	1	fm:links	canon/systems/governance/symbols_of_office_c700_1200.md	canon/systems/governance/symbols_of_office_c700_1200.md	OK	
canon/entities/factions/dredge_and_bar_works.md	1	fm:links	canon/systems/infrastructure/public_works_c700_1200.md	canon/systems/infrastructure/public_works_c700_1200.md	OK	
canon/entities/factions/dredge_and_bar_works.md	1	fm:links	canon/entities/factions/public_debt_office.md	canon/entities/factions/public_debt_office.md	OK	
canon/entities/factions/grain_chancery.md	1	fm:links	canon/systems/metrology/calendar_base6.md	canon/systems/metrology/calendar_base6.md	OK	
canon/entities/factions/grain_chancery.md	1	fm:links	canon/systems/governance/empty_seat.md	canon/systems/governance/empty_seat.md	ERR-MISSING-FILE	
canon/entities/factions/guild_of_compositories.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
